time;Ansaugtemperatur;Auslasstemperatur;Differenz;Raumtemperatur;Ruecklauf;Vorlauf
2020-12-12T09:36:30Z;;;;;;
2020-12-12T09:36:35Z;;;;;;
2020-12-12T09:36:40Z;;30,63;1,44;21,13;38,06;39,50
2020-12-12T09:36:45Z;;30,63;1,44;21,13;38,06;39,50
2020-12-12T09:36:50Z;;30,63;1,18;21,13;37,94;39,12
2020-12-12T09:36:55Z;;30,63;1,18;21,13;37,94;39,12
2020-12-12T09:37:00Z;;30,63;1,06;21,13;37,88;38,94
2020-12-12T09:37:05Z;22,13;30,63;1,06;21,13;37,88;38,94
2020-12-12T09:37:10Z;22,13;30,63;1,25;21,13;37,75;39,00
2020-12-12T09:37:15Z;22,13;30,63;1,25;21,13;37,75;39,00
2020-12-12T09:37:20Z;22,13;30,63;1,50;21,13;37,75;39,25
2020-12-12T09:37:25Z;22,13;30,63;1,50;21,13;37,75;39,25
2020-12-12T09:37:30Z;22,13;30,69;1,75;21,13;37,75;39,50
2020-12-12T09:37:35Z;22,13;30,69;1,75;21,13;37,75;39,50
2020-12-12T09:37:40Z;22,13;30,69;2,18;21,13;37,88;40,06
2020-12-12T09:37:45Z;22,13;30,69;2,18;21,13;37,88;40,06
2020-12-12T09:37:50Z;22,13;30,69;2,50;21,13;37,94;40,44
2020-12-12T09:37:55Z;22,13;30,69;2,50;21,13;37,94;40,44
2020-12-12T09:38:00Z;22,13;30,69;2,82;21,13;38,12;40,94
2020-12-12T09:38:05Z;22,13;30,69;2,82;21,13;38,12;40,94
2020-12-12T09:38:10Z;22,13;30,69;2,87;21,13;38,25;41,12
2020-12-12T09:38:15Z;22,13;30,69;2,87;21,13;38,25;41,12
2020-12-12T09:38:20Z;22,13;30,81;2,87;21,13;38,38;41,25
2020-12-12T09:38:25Z;22,13;30,81;2,87;21,13;38,38;41,25
2020-12-12T09:38:30Z;22,13;30,81;2,75;21,13;38,44;41,19
2020-12-12T09:38:35Z;22,13;30,81;2,75;21,13;38,44;41,19
2020-12-12T09:38:40Z;22,13;30,81;2,62;21,13;38,44;41,06
2020-12-12T09:38:45Z;22,13;30,81;2,62;21,13;38,44;41,06
2020-12-12T09:38:50Z;22,13;30,81;2,44;21,13;38,56;41,00
2020-12-12T09:38:55Z;22,13;30,81;2,44;21,13;38,56;41,00
2020-12-12T09:39:00Z;22,13;30,81;2,44;21,13;38,56;41,00
2020-12-12T09:39:05Z;22,13;30,81;2,44;21,13;38,56;41,00
2020-12-12T09:39:10Z;22,13;30,81;2,44;21,13;38,56;41,00
2020-12-12T09:39:15Z;22,13;30,81;2,44;21,13;38,56;41,00
2020-12-12T09:39:20Z;22,13;30,81;2,50;21,13;38,56;41,06
2020-12-12T09:39:25Z;22,13;30,81;2,50;21,13;38,56;41,06
2020-12-12T09:39:30Z;22,13;30,81;2,50;21,13;38,69;41,19
2020-12-12T09:39:35Z;22,13;30,81;2,50;21,13;38,69;41,19
2020-12-12T09:39:40Z;22,13;30,81;2,50;21,13;38,69;41,19
2020-12-12T09:39:45Z;22,13;30,81;2,50;21,13;38,69;41,19
2020-12-12T09:39:50Z;22,13;30,81;2,56;21,13;38,75;41,31
2020-12-12T09:39:55Z;22,13;30,81;2,56;21,13;38,75;41,31
2020-12-12T09:40:00Z;22,13;30,81;2,63;21,13;38,81;41,44
2020-12-12T09:40:05Z;22,13;30,81;2,63;21,13;38,81;41,44
2020-12-12T09:40:10Z;22,13;30,81;2,62;21,13;38,88;41,50
2020-12-12T09:40:15Z;22,13;30,81;2,62;21,13;38,88;41,50
2020-12-12T09:40:20Z;22,13;30,81;2,62;21,13;38,94;41,56
2020-12-12T09:40:25Z;22,13;30,81;2,62;21,13;38,94;41,56
2020-12-12T09:40:30Z;22,13;30,81;2,62;21,13;38,94;41,56
2020-12-12T09:40:35Z;22,13;30,81;2,62;21,13;38,94;41,56
2020-12-12T09:40:40Z;22,13;30,81;2,62;21,13;39,00;41,62
2020-12-12T09:40:45Z;22,13;30,81;2,62;21,13;39,00;41,62
2020-12-12T09:40:50Z;22,13;30,94;2,56;21,13;39,06;41,62
2020-12-12T09:40:55Z;22,13;30,94;2,56;21,13;39,06;41,62
2020-12-12T09:41:00Z;22,13;30,94;2,50;21,13;39,06;41,56
2020-12-12T09:41:05Z;22,13;30,94;2,50;21,13;39,06;41,56
2020-12-12T09:41:10Z;22,13;30,94;2,38;21,13;39,12;41,50
2020-12-12T09:41:15Z;22,19;30,94;2,38;21,13;39,12;41,50
2020-12-12T09:41:20Z;22,19;30,94;2,32;21,13;39,12;41,44
2020-12-12T09:41:25Z;22,19;30,94;2,32;21,13;39,12;41,44
2020-12-12T09:41:30Z;22,19;30,94;2,13;21,13;39,12;41,25
2020-12-12T09:41:35Z;22,19;30,94;2,13;21,13;39,12;41,25
2020-12-12T09:41:40Z;22,19;30,94;2,13;21,13;39,12;41,25
2020-12-12T09:41:45Z;22,19;30,94;2,13;21,13;39,12;41,25
2020-12-12T09:41:50Z;22,19;30,94;1,88;21,13;39,06;40,94
2020-12-12T09:41:55Z;22,19;30,94;1,88;21,13;39,06;40,94
2020-12-12T09:42:00Z;22,19;30,94;1,75;21,13;39,06;40,81
2020-12-12T09:42:05Z;22,19;30,94;1,75;21,13;39,06;40,81
2020-12-12T09:42:10Z;22,19;30,94;1,56;21,13;39,00;40,56
2020-12-12T09:42:15Z;22,19;30,94;1,56;21,13;39,00;40,56
2020-12-12T09:42:20Z;22,19;30,94;1,25;21,13;38,94;40,19
2020-12-12T09:42:25Z;22,19;30,94;1,25;21,13;38,94;40,19
2020-12-12T09:42:30Z;22,19;31,00;1,00;21,13;38,75;39,75
2020-12-12T09:42:35Z;22,19;31,00;1,00;21,13;38,75;39,75
2020-12-12T09:42:40Z;22,19;31,00;1,25;21,13;38,56;39,81
2020-12-12T09:42:45Z;22,19;31,00;1,25;21,13;38,56;39,81
2020-12-12T09:42:50Z;22,19;31,00;1,62;21,13;38,50;40,12
2020-12-12T09:42:55Z;22,19;31,00;1,62;21,13;38,50;40,12
2020-12-12T09:43:00Z;22,19;31,00;1,87;21,13;38,44;40,31
2020-12-12T09:43:05Z;22,19;31,00;1,87;21,13;38,44;40,31
2020-12-12T09:43:10Z;22,19;31,00;2,00;21,13;38,44;40,44
2020-12-12T09:43:15Z;22,19;31,00;2,00;21,13;38,44;40,44
2020-12-12T09:43:20Z;22,44;30,81;2,00;21,13;38,50;40,50
2020-12-12T09:43:25Z;22,44;30,81;2,00;21,13;38,50;40,50
2020-12-12T09:43:30Z;22,44;30,81;2,00;21,13;38,50;40,50
2020-12-12T09:43:35Z;22,44;30,81;2,00;21,13;38,50;40,50
2020-12-12T09:43:40Z;22,44;30,81;1,44;21,13;38,50;39,94
2020-12-12T09:43:45Z;22,44;30,81;1,44;21,13;38,50;39,94
2020-12-12T09:43:50Z;22,44;30,81;1,06;21,13;38,38;39,44
2020-12-12T09:43:55Z;22,44;30,81;1,06;21,13;38,38;39,44
2020-12-12T09:44:00Z;22,44;30,81;0,57;21,13;38,12;38,69
2020-12-12T09:44:05Z;22,44;30,81;0,57;21,13;38,12;38,69
2020-12-12T09:44:10Z;22,44;30,81;0,37;21,13;37,94;38,31
2020-12-12T09:44:15Z;22,44;30,81;0,37;21,13;37,94;38,31
2020-12-12T09:44:20Z;22,44;30,81;0,06;21,13;37,56;37,62
2020-12-12T09:44:25Z;22,44;30,81;0,06;21,13;37,56;37,62
2020-12-12T09:44:30Z;22,44;30,81;0,06;21,13;37,38;37,44
2020-12-12T09:44:35Z;22,44;30,81;0,06;21,13;37,38;37,44
2020-12-12T09:44:40Z;22,44;30,81;0,06;21,13;37,00;37,06
2020-12-12T09:44:45Z;22,44;30,81;0,06;21,13;37,00;37,06
2020-12-12T09:44:50Z;22,44;30,81;0,13;21,13;36,81;36,94
2020-12-12T09:44:55Z;22,44;30,81;0,13;21,13;36,81;36,94
2020-12-12T09:45:00Z;22,31;30,81;0,32;21,13;36,56;36,88
2020-12-12T09:45:05Z;22,31;30,81;0,32;21,13;36,56;36,88
2020-12-12T09:45:10Z;22,31;30,81;0,62;21,13;36,38;37,00
2020-12-12T09:45:15Z;22,31;30,81;0,62;21,13;36,38;37,00
2020-12-12T09:45:20Z;22,31;30,81;0,87;21,13;36,38;37,25
2020-12-12T09:45:25Z;22,31;30,44;0,87;21,13;36,38;37,25
2020-12-12T09:45:30Z;22,31;30,44;1,43;21,13;36,38;37,81
2020-12-12T09:45:35Z;22,31;30,44;1,43;21,13;36,38;37,81
2020-12-12T09:45:40Z;22,31;30,44;1,62;21,13;36,44;38,06
2020-12-12T09:45:45Z;22,31;30,44;1,62;21,13;36,44;38,06
2020-12-12T09:45:50Z;22,19;29,63;2,00;21,13;36,56;38,56
2020-12-12T09:45:55Z;22,19;29,63;2,00;21,13;36,56;38,56
2020-12-12T09:46:00Z;22,19;29,63;2,32;21,13;36,56;38,88
2020-12-12T09:46:05Z;22,19;29,63;2,32;21,13;36,56;38,88
2020-12-12T09:46:10Z;22,19;29,63;2,50;21,13;36,81;39,31
2020-12-12T09:46:15Z;22,19;29,63;2,50;21,13;36,81;39,31
2020-12-12T09:46:20Z;22,19;29,63;2,87;21,13;36,94;39,81
2020-12-12T09:46:25Z;22,19;29,63;2,87;21,13;36,94;39,81
2020-12-12T09:46:30Z;22,19;29,63;3,00;21,13;37,00;40,00
2020-12-12T09:46:35Z;22,19;29,63;3,00;21,13;37,00;40,00
2020-12-12T09:46:40Z;22,19;29,63;3,13;21,13;37,12;40,25
2020-12-12T09:46:45Z;22,19;29,63;3,13;21,13;37,12;40,25
2020-12-12T09:46:50Z;22,19;29,63;3,25;21,13;37,25;40,50
2020-12-12T09:46:55Z;22,19;29,63;3,25;21,13;37,25;40,50
2020-12-12T09:47:00Z;22,19;29,63;3,31;21,13;37,44;40,75
2020-12-12T09:47:05Z;22,19;28,94;3,31;21,13;37,44;40,75
2020-12-12T09:47:10Z;22,19;28,94;3,32;21,13;37,56;40,88
2020-12-12T09:47:15Z;22,19;28,94;3,32;21,13;37,56;40,88
2020-12-12T09:47:20Z;22,19;28,94;3,31;21,13;37,75;41,06
2020-12-12T09:47:25Z;22,19;28,94;3,31;21,13;37,75;41,06
2020-12-12T09:47:30Z;22,19;28,94;3,31;21,13;37,88;41,19
2020-12-12T09:47:35Z;22,19;28,94;3,31;21,13;37,88;41,19
2020-12-12T09:47:40Z;22,19;28,94;3,31;21,13;37,94;41,25
2020-12-12T09:47:45Z;22,19;28,94;3,31;21,13;37,94;41,25
2020-12-12T09:47:50Z;22,19;28,94;3,06;21,13;38,06;41,12
2020-12-12T09:47:55Z;22,19;28,94;3,06;21,13;38,06;41,12
2020-12-12T09:48:00Z;22,19;28,94;2,88;21,13;38,06;40,94
2020-12-12T09:48:05Z;22,19;28,94;2,88;21,13;38,06;40,94
2020-12-12T09:48:10Z;22,19;28,94;2,44;21,13;38,06;40,50
2020-12-12T09:48:15Z;22,19;28,94;2,44;21,13;38,06;40,50
2020-12-12T09:48:20Z;22,19;28,94;2,13;21,13;38,06;40,19
2020-12-12T09:48:25Z;22,19;28,94;2,13;21,13;38,06;40,19
2020-12-12T09:48:30Z;22,19;28,94;1,81;21,13;38,00;39,81
2020-12-12T09:48:35Z;22,19;28,94;1,81;21,13;38,00;39,81
2020-12-12T09:48:40Z;22,19;28,94;1,56;21,13;37,88;39,44
2020-12-12T09:48:45Z;22,19;28,44;1,56;21,13;37,88;39,44
2020-12-12T09:48:50Z;22,19;28,44;1,50;21,13;37,81;39,31
2020-12-12T09:48:55Z;22,19;28,44;1,50;21,13;37,81;39,31
2020-12-12T09:49:00Z;22,19;28,44;1,31;21,13;37,69;39,00
2020-12-12T09:49:05Z;22,19;28,44;1,31;21,13;37,69;39,00
2020-12-12T09:49:10Z;22,19;28,44;1,32;21,13;37,62;38,94
2020-12-12T09:49:15Z;22,19;28,44;1,32;21,13;37,62;38,94
2020-12-12T09:49:20Z;22,19;28,44;1,12;21,13;37,50;38,62
2020-12-12T09:49:25Z;22,19;28,44;1,12;21,13;37,50;38,62
2020-12-12T09:49:30Z;22,19;28,44;1,12;21,13;37,38;38,50
2020-12-12T09:49:35Z;22,19;28,19;1,12;21,13;37,38;38,50
2020-12-12T09:49:40Z;22,19;28,19;1,37;21,13;37,25;38,62
2020-12-12T09:49:45Z;22,19;28,19;1,37;21,13;37,25;38,62
2020-12-12T09:49:50Z;22,19;28,19;1,50;21,13;37,25;38,75
2020-12-12T09:49:55Z;22,19;28,19;1,50;21,13;37,25;38,75
2020-12-12T09:50:00Z;22,19;28,19;1,75;21,13;37,25;39,00
2020-12-12T09:50:05Z;22,19;28,19;1,75;21,13;37,25;39,00
2020-12-12T09:50:10Z;22,19;28,19;1,87;21,13;37,25;39,12
2020-12-12T09:50:15Z;22,19;28,19;1,87;21,13;37,25;39,12
2020-12-12T09:50:20Z;22,19;28,19;2,06;21,13;37,25;39,31
2020-12-12T09:50:25Z;22,31;28,19;2,06;21,13;37,25;39,31
2020-12-12T09:50:30Z;22,31;28,19;2,07;21,13;37,31;39,38
2020-12-12T09:50:35Z;22,31;28,19;2,07;21,13;37,31;39,38
2020-12-12T09:50:40Z;22,31;28,19;1,93;21,13;37,38;39,31
2020-12-12T09:50:45Z;22,31;28,19;1,93;21,13;37,38;39,31
2020-12-12T09:50:50Z;22,31;28,19;1,81;21,13;37,38;39,19
2020-12-12T09:50:55Z;22,31;28,19;1,81;21,13;37,38;39,19
2020-12-12T09:51:00Z;22,31;28,19;1,75;21,13;37,31;39,06
2020-12-12T09:51:05Z;22,31;28,19;1,75;21,13;37,31;39,06
2020-12-12T09:51:10Z;22,31;28,19;1,50;21,13;37,25;38,75
2020-12-12T09:51:15Z;22,31;28,00;1,50;21,13;37,25;38,75
2020-12-12T09:51:20Z;22,31;28,00;1,37;21,13;37,19;38,56
2020-12-12T09:51:25Z;22,31;28,00;1,37;21,13;37,19;38,56
2020-12-12T09:51:30Z;22,31;28,00;1,06;21,13;37,00;38,06
2020-12-12T09:51:35Z;22,31;28,00;1,06;21,13;37,00;38,06
2020-12-12T09:51:40Z;22,31;28,00;1,00;21,13;36,75;37,75
2020-12-12T09:51:45Z;22,31;28,00;1,00;21,13;36,75;37,75
2020-12-12T09:51:50Z;22,31;28,00;0,93;21,13;36,69;37,62
2020-12-12T09:51:55Z;22,31;28,00;0,93;21,13;36,69;37,62
2020-12-12T09:52:00Z;22,31;28,00;0,88;21,13;36,50;37,38
2020-12-12T09:52:05Z;22,19;28,00;0,88;21,19;36,50;37,38
2020-12-12T09:52:10Z;22,19;28,00;0,87;21,19;36,38;37,25
2020-12-12T09:52:15Z;22,19;28,00;0,87;21,19;36,38;37,25
2020-12-12T09:52:20Z;22,19;28,00;0,94;21,19;36,25;37,19
2020-12-12T09:52:25Z;22,19;28,00;0,94;21,19;36,25;37,19
2020-12-12T09:52:30Z;22,19;27,81;1,00;21,19;36,19;37,19
2020-12-12T09:52:35Z;22,19;27,81;1,00;21,19;36,19;37,19
2020-12-12T09:52:40Z;22,19;27,81;0,94;21,19;36,06;37,00
2020-12-12T09:52:45Z;22,19;27,81;0,94;21,19;36,06;37,00
2020-12-12T09:52:50Z;22,19;27,81;0,87;21,19;35,94;36,81
2020-12-12T09:52:55Z;22,19;27,81;0,87;21,19;35,94;36,81
2020-12-12T09:53:00Z;22,19;27,81;0,63;21,19;35,75;36,38
2020-12-12T09:53:05Z;22,19;27,81;0,63;21,19;35,75;36,38
2020-12-12T09:53:10Z;22,19;27,81;0,69;21,19;35,50;36,19
2020-12-12T09:53:15Z;22,19;27,81;0,69;21,19;35,50;36,19
2020-12-12T09:53:20Z;22,19;27,81;0,75;21,19;35,44;36,19
2020-12-12T09:53:25Z;22,19;27,81;0,75;21,19;35,44;36,19
2020-12-12T09:53:30Z;22,19;27,81;1,12;21,19;35,38;36,50
2020-12-12T09:53:35Z;22,19;27,81;1,12;21,19;35,38;36,50
2020-12-12T09:53:40Z;22,19;27,81;1,37;21,19;35,38;36,75
2020-12-12T09:53:45Z;22,19;27,81;1,37;21,19;35,38;36,75
2020-12-12T09:53:50Z;22,19;27,81;1,87;21,19;35,44;37,31
2020-12-12T09:53:55Z;22,19;27,81;1,87;21,19;35,44;37,31
2020-12-12T09:54:00Z;22,19;27,81;2,06;21,19;35,50;37,56
2020-12-12T09:54:05Z;22,19;27,81;2,06;21,19;35,50;37,56
2020-12-12T09:54:10Z;22,19;27,63;2,31;21,19;35,69;38,00
2020-12-12T09:54:15Z;22,19;27,63;2,31;21,19;35,69;38,00
2020-12-12T09:54:20Z;22,19;27,63;2,56;21,19;35,75;38,31
2020-12-12T09:54:25Z;22,19;27,63;2,56;21,19;35,75;38,31
2020-12-12T09:54:30Z;22,19;27,63;2,75;21,19;35,94;38,69
2020-12-12T09:54:35Z;22,19;27,63;2,75;21,19;35,94;38,69
2020-12-12T09:54:40Z;22,19;27,63;2,82;21,19;36,06;38,88
2020-12-12T09:54:45Z;22,19;27,63;2,82;21,19;36,06;38,88
2020-12-12T09:54:50Z;22,19;27,63;3,00;21,19;36,19;39,19
2020-12-12T09:54:55Z;22,19;27,63;3,00;21,19;36,19;39,19
2020-12-12T09:55:00Z;22,19;27,31;3,06;21,19;36,25;39,31
2020-12-12T09:55:05Z;22,19;27,31;3,06;21,19;36,25;39,31
2020-12-12T09:55:10Z;22,19;27,31;2,87;21,19;36,44;39,31
2020-12-12T09:55:15Z;22,19;27,31;2,87;21,19;36,44;39,31
2020-12-12T09:55:20Z;22,19;27,31;3,25;21,19;36,56;39,81
2020-12-12T09:55:25Z;22,19;27,31;3,25;21,19;36,56;39,81
2020-12-12T09:55:30Z;22,19;27,31;3,19;21,19;36,62;39,81
2020-12-12T09:55:35Z;22,19;27,31;3,19;21,19;36,62;39,81
2020-12-12T09:55:40Z;22,19;27,31;3,19;21,19;36,81;40,00
2020-12-12T09:55:45Z;22,19;27,31;3,19;21,19;36,81;40,00
2020-12-12T09:55:50Z;22,19;27,13;3,25;21,19;36,81;40,06
2020-12-12T09:55:55Z;22,19;27,13;3,25;21,19;36,81;40,06
2020-12-12T09:56:00Z;22,19;27,13;3,06;21,19;37,00;40,06
2020-12-12T09:56:05Z;22,19;27,13;3,06;21,19;37,00;40,06
2020-12-12T09:56:10Z;22,19;27,13;2,94;21,19;37,00;39,94
2020-12-12T09:56:15Z;22,19;27,13;2,94;21,19;37,00;39,94
2020-12-12T09:56:20Z;22,19;27,13;2,76;21,19;37,12;39,88
2020-12-12T09:56:25Z;22,19;27,13;2,76;21,19;37,12;39,88
2020-12-12T09:56:30Z;22,19;27,13;2,63;21,19;37,12;39,75
2020-12-12T09:56:35Z;22,19;27,13;2,63;21,19;37,12;39,75
2020-12-12T09:56:40Z;22,19;27,13;2,43;21,19;37,19;39,62
2020-12-12T09:56:45Z;22,19;27,13;2,43;21,19;37,19;39,62
2020-12-12T09:56:50Z;22,19;27,13;2,31;21,19;37,19;39,50
2020-12-12T09:56:55Z;22,19;27,13;2,31;21,19;37,19;39,50
2020-12-12T09:57:00Z;22,19;27,13;2,12;21,19;37,19;39,31
2020-12-12T09:57:05Z;22,19;27,13;2,12;21,19;37,19;39,31
2020-12-12T09:57:10Z;22,19;27,13;2,06;21,19;37,19;39,25
2020-12-12T09:57:15Z;22,19;27,13;2,06;21,19;37,19;39,25
2020-12-12T09:57:20Z;22,19;27,13;2,25;21,19;37,19;39,44
2020-12-12T09:57:25Z;22,19;27,13;2,25;21,19;37,19;39,44
2020-12-12T09:57:30Z;22,19;27,13;2,50;21,19;37,31;39,81
2020-12-12T09:57:35Z;22,19;27,13;2,50;21,19;37,31;39,81
2020-12-12T09:57:40Z;22,19;27,13;2,56;21,19;37,44;40,00
2020-12-12T09:57:45Z;22,19;27,13;2,56;21,19;37,44;40,00
2020-12-12T09:57:50Z;22,19;27,13;2,69;21,19;37,56;40,25
2020-12-12T09:57:55Z;22,19;27,13;2,69;21,19;37,56;40,25
2020-12-12T09:58:00Z;22,19;27,13;2,63;21,19;37,62;40,25
2020-12-12T09:58:05Z;22,19;27,13;2,63;21,19;37,62;40,25
2020-12-12T09:58:10Z;22,19;27,13;2,43;21,19;37,69;40,12
2020-12-12T09:58:15Z;22,19;27,13;2,43;21,19;37,69;40,12
2020-12-12T09:58:20Z;22,19;27,19;2,37;21,19;37,69;40,06
2020-12-12T09:58:25Z;22,19;27,19;2,37;21,19;37,69;40,06
2020-12-12T09:58:30Z;22,19;27,19;2,06;21,19;37,75;39,81
2020-12-12T09:58:35Z;22,19;27,19;2,06;21,19;37,75;39,81
2020-12-12T09:58:40Z;22,19;27,19;2,00;21,19;37,69;39,69
2020-12-12T09:58:45Z;22,19;27,19;2,00;21,19;37,69;39,69
